Date,Day,Month,Year,SolRadiation (MJ/m²/day),TempMin (°C),TempMax (°C),RelHumMin (%),RelHumMax (%),net radiation name,net radiation,SurplusCal,DeficitCal,deficit,surplus,,,S,D,,,,DAY,January,, February ,,March,,April,, May,,June,,July,,August,,September,, October,,November,, December,
1/1/2011,1,1,2011,13.00196281,19,33.5,21,90,deficit,-89.31760237,surplus,surplus,0.011072039,0.988927961,,0.760713816,0.760713816,0.362244674,0.543367012,,,,S,D,S,D,S,D,S,D,S,D,S,D,S,D,S,D,S,D,S,D,S,D,S,D
1/2/2011,2,1,2011,9.872774792,17,31.5,26,89,deficit,-69.11935339,surplus,surplus,0.014261398,0.985738602,,0.758260463,0.758260463,0.361076411,0.541614616,,,1,0.76,0.54,0.79,0.57,0.78,0.56,0.79,0.56,0.72,0.55,0.78,0.56,0.79,0.57,0.80,0.57,0.79,0.56,0.56,0.79,0.56,0.88,0.58,0.88
1/3/2011,3,1,2011,10.60551559,17.5,33,27,95,deficit,-59.14298607,surplus,surplus,0.016627043,0.983372957,,0.756440736,0.756440736,0.360209874,0.540314812,,,2,0.76,0.54,0.79,0.56,0.78,0.56,0.78,0.56,0.78,0.56,0.78,0.56,0.78,0.56,0.45,0.67,0.79,0.56,0.56,0.78,0.56,0.56,0.79,0.56
1/4/2011,4,1,2011,10.22194146,19,33,38,98,deficit,-16.19123636,deficit,surplus,0.058169173,0.941830827,,0.724485252,0.724485252,0.344992977,0.517489465,,,3,0.76,0.54,0.79,0.56,0.78,0.56,0.80,0.57,0.78,0.56,0.78,0.55,0.45,0.67,0.45,0.68,0.79,0.56,0.56,0.79,0.56,0.75,0.50,0.75
1/5/2011,5,1,2011,9.217511167,19,31.5,50,97,surplus,4.089047732,surplus,deficit,-0.32372436,1.32372436,,1.018249508,0.565694171,0.565694171,0.848541256,,,4,0.72,0.52,0.46,0.69,0.79,0.56,0.78,0.56,0.45,0.68,0.78,0.56,0.45,0.68,0.45,0.67,0.79,0.56,0.56,0.79,0.56,0.67,0.45,0.67
1/6/2011,6,1,2011,10.07405483,21,32.5,23,97,deficit,-42.61410694,deficit,surplus,0.022928361,0.977071639,,0.751593568,0.751593568,0.357901699,0.536852549,,,5,0.57,0.85,0.75,0.54,0.78,0.56,0.79,0.57,0.79,0.56,0.78,0.56,0.79,0.56,0.79,0.56,0.44,0.67,0.67,0.79,0.56,0.57,0.80,0.57
1/7/2011,7,1,2011,9.685897882,21,31,24,79,deficit,-63.64157524,surplus,surplus,0.01546992,0.98453008,,0.757330831,0.757330831,0.360633729,0.540950593,,,6,0.75,0.54,0.73,0.52,0.78,0.56,0.70,0.56,0.78,0.56,0.78,0.56,0.79,0.57,0.79,0.57,0.79,0.56,0.56,0.79,0.56,0.56,0.78,0.56
1/8/2011,8,1,2011,11.9446425,18,32,16,74,deficit,-124.7645784,surplus,deficit,0.007951364,0.992048636,,0.763114335,0.763114335,0.363387779,0.545081668,,,7,0.76,0.54,0.76,0.54,0.78,0.55,0.71,0.56,0.78,0.55,0.78,0.56,0.79,0.56,0.79,0.57,0.79,0.57,0.57,0.79,0.56,0.71,0.47,0.71
1/9/2011,9,1,2011,10.99920101,19,32.5,19,89,deficit,-82.56886794,surplus,surplus,0.011966179,0.988033821,,0.760026016,0.760026016,0.361917151,0.542875726,,,8,0.76,0.55,0.69,0.53,0.78,0.56,0.45,0.68,0.78,0.55,0.78,0.56,0.79,0.56,0.79,0.57,0.78,0.56,0.56,0.79,0.56,0.56,0.79,0.56
1/10/2011,10,1,2011,11.19400691,16.5,32.3,19,52,deficit,-136.5682211,surplus,deficit,0.007269121,0.992730879,,0.763639138,0.763639138,0.363637685,0.545456527,,,9,0.76,0.54,0.46,0.68,0.78,0.56,0.78,0.56,0.79,0.57,0.78,0.56,0.78,0.56,0.45,0.67,0.79,0.56,0.56,0.47,0.71,0.57,0.80,0.57
