,Day,Month,Year,SolRadiation (MJ/m²/day),TempMin (°C),TempMax (°C),RelHumMin (%),RelHumMax (%),net radiation name,net radiation,surplus,deficit
1,1,1,2012,21.492,21.0,33.0,24,96,surplus,99590396759.12323,inf,-inf
2,2,1,2012,21.384,21.5,32.5,13,100,deficit,-72809542684.04144,2.0,-1.0
3,3,1,2012,21.312,18.5,33.0,10,85,deficit,-869984263909.7122,1.5,-0.5
4,4,1,2012,21.924,18.0,34.0,10,84,deficit,-1795678770920.2544,1.3333333333333333,-0.33333333333333326
5,5,1,2012,20.952,16.0,33.0,14,85,deficit,-3033096014192.796,1.25,-0.25
6,6,1,2012,20.952,15.5,32.0,20,86,deficit,-4129536203440.0737,1.2,-0.19999999999999996
7,7,1,2012,21.456,16.0,33.5,16,95,deficit,-5971404645910.4,1.1666666666666667,-0.16666666666666674
8,8,1,2012,22.104,17.0,33.0,30,99,deficit,-4590173761362.802,1.1428571428571428,-0.1428571428571428
9,9,1,2012,21.744,19.0,32.5,30,100,deficit,-4816397546803.196,1.125,-0.125
10,10,1,2012,21.996000000000002,20.0,33.0,10,100,deficit,-11736627600229.043,1.1111111111111112,-0.11111111111111116
11,11,1,2012,21.852,19.0,35.0,0,88,deficit,-19804776199496.266,1.1,-0.10000000000000009
12,12,1,2012,21.852,16.5,33.0,10,90,deficit,-21589783609648.7,1.0909090909090908,-0.09090909090909083
13,13,1,2012,22.176000000000002,16.5,30.5,15,53,deficit,-23420665146184.703,1.0833333333333333,-0.08333333333333326
14,14,1,2012,21.882857142857144,18.0,32.0,14,40,deficit,-26309496974599.055,1.0769230769230769,-0.07692307692307687
15,15,1,2012,21.456,18.0,31.0,20,74,deficit,-27671324157901.254,1.0714285714285714,-0.0714285714285714
16,16,1,2012,21.240000000000002,16.5,32.5,18,78,deficit,-33592697844781.363,1.0666666666666667,-0.06666666666666665
17,17,1,2012,21.852,17.0,34.5,12,98,deficit,-40626078955383.47,1.0625,-0.0625
18,18,1,2012,21.384,16.8,32.5,34,95,deficit,-25408571018328.957,1.0588235294117647,-0.05882352941176472
19,19,1,2012,20.844,22.0,32.0,40,96,deficit,-6451274641270.094,1.0555555555555556,-0.05555555555555558
20,20,1,2012,21.312,23.0,32.5,46,94,surplus,4497702800402.787,1.0526315789473684,-0.05263157894736836
21,21,1,2012,18.576,24.0,31.5,55,94,surplus,17969671616166.312,1.05,-0.050000000000000044
22,22,1,2012,22.068,23.0,35.0,25,95,deficit,-20878079102792.426,1.0476190476190477,-0.04761904761904767
23,23,1,2012,20.772,22.5,34.0,26,96,deficit,-25766346047831.082,1.0454545454545454,-0.045454545454545414
24,24,1,2012,21.96,23.0,36.0,5,94,deficit,-67762392476149.664,1.0434782608695652,-0.04347826086956519
25,25,1,2012,22.284000000000002,22.0,34.5,19,94,deficit,-49604837484630.75,1.0416666666666667,-0.04166666666666674
26,26,1,2012,20.124,23.5,32.5,48,94,surplus,14098005960893.018,1.04,-0.040000000000000036
27,27,1,2012,19.259999999999998,23.5,33.0,42,94,surplus,3821410989161.9844,1.0384615384615385,-0.03846153846153855
28,28,1,2012,20.340000000000003,23.5,33.5,40,95,surplus,3201418093362.178,1.037037037037037,-0.03703703703703698
29,29,1,2012,19.872,24.0,34.0,37,95,surplus,2302823255092.8345,1.0357142857142858,-0.03571428571428581
30,30,1,2012,18.08742857142857,24.0,34.0,35,94,deficit,-5772295252168.803,1.0344827586206897,-0.034482758620689724
31,31,1,2012,21.672,23.5,36.0,26,95,deficit,-29883102104044.355,1.0333333333333334,-0.03333333333333344
32,1,2,2012,22.644000000000002,24.0,35.5,26,94,deficit,-31029611412112.656,1.032258064516129,-0.032258064516129004
33,2,2,2012,20.772,24.0,34.5,36,94,surplus,57570922809.67229,1.03125,-0.03125
34,3,2,2012,21.024,24.0,34.0,42,100,surplus,35077782321284.418,1.0303030303030303,-0.030303030303030276
35,4,2,2012,20.628000000000004,21.0,33.0,48,94,deficit,-2023175903547.0054,1.0294117647058822,-0.02941176470588225
36,5,2,2012,20.772,23.0,33.0,48,90,surplus,13363448823731.09,1.0285714285714285,-0.02857142857142847
37,6,2,2012,21.888,24.0,34.0,35,93,deficit,-12927494637878.049,1.0277777777777777,-0.02777777777777768
38,7,2,2012,20.916,24.0,32.5,3,90,deficit,-179051574147721.34,1.027027027027027,-0.027027027027026973
39,8,2,2012,21.816,21.0,33.5,19,90,deficit,-149338423516415.06,1.0263157894736843,-0.026315789473684292
40,9,2,2012,22.14,21.5,32.0,37,91,deficit,-70438582245464.31,1.0256410256410255,-0.02564102564102555
41,10,2,2012,21.816,22.0,32.5,34,91,deficit,-76902853435733.0,1.025,-0.02499999999999991
42,11,2,2012,21.78,22.5,32.0,42,93,deficit,-29538784313319.98,1.024390243902439,-0.024390243902439046
43,12,2,2012,22.536,23.0,33.0,43,98,surplus,15380204308514.486,1.0238095238095237,-0.023809523809523725
44,13,2,2012,19.08,23.0,33.0,45,94,surplus,13945455258539.06,1.0232558139534884,-0.023255813953488413
45,14,2,2012,19.152,23.0,33.5,40,97,deficit,-145897412556.2011,1.0227272727272727,-0.022727272727272707
46,15,2,2012,17.269714285714286,22.2,32.5,48,96,surplus,16779771932515.465,1.0222222222222221,-0.022222222222222143
47,16,2,2012,21.276,23.0,34.5,40,96,surplus,12682571495399.334,1.0217391304347827,-0.021739130434782705
48,17,2,2012,21.204,23.5,35.0,34,94,deficit,-24962934222650.734,1.0212765957446808,-0.02127659574468077
49,18,2,2012,17.316,24.0,33.0,50,95,surplus,87046490892616.64,1.0208333333333333,-0.02083333333333326
50,19,2,2012,22.248,19.0,33.0,41,96,deficit,-102662782437640.39,1.0204081632653061,-0.020408163265306145
51,20,2,2012,19.692,21.0,33.0,64,96,surplus,137456462908769.1,1.02,-0.020000000000000018
52,21,2,2012,19.476000000000003,21.5,31.0,54,95,surplus,10331608484091.186,1.0196078431372548,-0.019607843137254832
53,22,2,2012,13.788,24.0,34.0,40,94,surplus,23521909839483.09,1.0192307692307692,-0.019230769230769162
54,23,2,2012,22.104,24.0,34.0,40,94,surplus,24232541138612.07,1.0188679245283019,-0.018867924528301883
55,24,2,2012,21.996000000000002,23.5,34.0,38,92,deficit,-23645614409839.332,1.0185185185185186,-0.0185185185185186
56,25,2,2012,21.78,23.5,34.0,27,93,deficit,-138017761424705.28,1.018181818181818,-0.018181818181818077
57,26,2,2012,21.816,24.5,35.0,34,93,deficit,-7887584135517.705,1.0178571428571428,-0.017857142857142794
58,27,2,2012,21.888,24.5,34.5,37,95,surplus,30087304675672.23,1.0175438596491229,-0.01754385964912286
59,28,2,2012,22.608,23.0,34.0,43,98,surplus,53961062745216.15,1.0172413793103448,-0.01724137931034475
60,29,2,2012,20.988,21.5,31.5,51,94,deficit,-10045999242462.934,1.0169491525423728,-0.016949152542372836
61,1,3,2012,20.844,21.5,34.0,42,94,deficit,-40283420205020.58,1.0166666666666666,-0.016666666666666607
62,2,3,2012,18.396000000000004,21.0,34.0,38,97,deficit,-96391662554026.77,1.0163934426229508,-0.016393442622950838
63,3,3,2012,24.408,21.0,34.0,38,100,deficit,-81980020655675.94,1.0161290322580645,-0.016129032258064502
64,4,3,2012,20.628000000000004,21.0,32.0,52,96,surplus,12454750011832.672,1.0158730158730158,-0.015873015873015817
65,5,3,2012,18.324,22.0,31.5,55,95,surplus,66240253847573.92,1.015625,-0.015625
66,6,3,2012,22.752000000000002,22.0,32.0,46,94,deficit,-40346986050752.59,1.0153846153846153,-0.01538461538461533
67,7,3,2012,21.816,22.5,33.0,42,93,deficit,-48785835390471.78,1.0151515151515151,-0.015151515151515138
