,Day,Month,Year,SolRadiation (MJ/m²/day),TempMin (°C),TempMax (°C),RelHumMin (%),RelHumMax (%),net radiation name,net radiation,surplus,deficit
1,1,1,2011,13.001962812500247,19.0,33.5,21,90,surplus,3573708937.2,1.3333333333333333,-0.33333333333333326
2,2,1,2011,9.872774791666911,17.0,31.5,26,89,deficit,-7821778267.3,1.25,-0.25
3,3,1,2011,10.605515590278014,17.5,33.0,27,95,deficit,-21933398453.3,1.2,-0.19999999999999996
4,4,1,2011,10.221941458333568,19.0,33.0,38,98,deficit,-5673420687.5,1.1666666666666667,-0.16666666666666674
5,5,1,2011,9.217511166666888,19.0,31.5,50,97,surplus,12735313888.4,1.1428571428571428,-0.1428571428571428
6,6,1,2011,10.074054826389125,21.0,32.5,23,97,deficit,-111966509579.4,1.125,-0.125
7,7,1,2011,9.685897881944669,21.0,31.0,24,79,deficit,-251341779124.8,1.1111111111111112,-0.11111111111111116
8,8,1,2011,11.944642500000242,18.0,32.0,16,74,deficit,-514039300904.4,1.1,-0.10000000000000009
9,9,1,2011,10.999201006944682,19.0,32.5,19,89,deficit,-488071313903.3,1.0909090909090908,-0.09090909090909083
10,10,1,2011,11.194006909722459,16.5,32.3,19,52,deficit,-969702686838.2,1.0833333333333333,-0.08333333333333326
11,11,1,2011,11.686660708333575,17.5,33.0,23,64,deficit,-949671932664.2,1.0769230769230769,-0.07692307692307687
12,12,1,2011,12.954970798611356,18.5,34.5,25,90,deficit,-702375756824.7,1.0714285714285714,-0.0714285714285714
13,13,1,2011,11.003347361111349,22.5,34.0,29,97,deficit,-281717769592.6,1.0666666666666667,-0.06666666666666665
14,14,1,2011,9.66451142361134,18.0,32.5,40,89,deficit,-613834247528.8,1.0625,-0.0625
15,15,1,2011,10.970976701389127,19.0,32.0,20,55,deficit,-2045507117921.5,1.0588235294117647,-0.05882352941176472
16,16,1,2011,11.884774965278016,16.0,33.0,14,56,deficit,-2741060179176.4,1.0555555555555556,-0.05555555555555558
17,17,1,2011,10.481270451389122,16.5,31.5,19,80,deficit,-2411764615429.5,1.0526315789473684,-0.05263157894736836
18,18,1,2011,10.917874270833568,16.0,32.0,20,84,deficit,-2600932624546.0,1.05,-0.050000000000000044
19,19,1,2011,10.640723229166902,16.0,33.5,21,90,deficit,-2598041521620.3,1.0476190476190477,-0.04761904761904767
20,20,1,2011,10.498219583333565,16.5,32.5,20,95,deficit,-2828582541942.8,1.0454545454545454,-0.045454545454545414
21,21,1,2011,10.906526354166902,16.0,32.5,26,95,deficit,-2749394936954.2,1.0434782608695652,-0.04347826086956519
22,22,1,2011,10.768751006944678,16.5,33.5,28,100,deficit,-2463061934480.8,1.0416666666666667,-0.04166666666666674
23,23,1,2011,11.467520798611346,20.0,33.5,25,98,deficit,-2213369943007.5,1.04,-0.040000000000000036
24,24,1,2011,10.836695930555784,20.0,33.0,38,98,deficit,-1125609668255.6,1.0384615384615385,-0.03846153846153855
25,25,1,2011,10.069908472222437,23.0,32.5,42,95,deficit,-52155896519.5,1.037037037037037,-0.03703703703703698
26,26,1,2011,12.10314961805579,23.0,34.0,40,96,surplus,183685523232.1,1.0357142857142858,-0.03571428571428581
27,27,1,2011,12.23634215277801,23.5,34.0,37,95,deficit,-94185378365.7,1.0344827586206897,-0.034482758620689724
28,28,1,2011,11.696879652778014,23.5,34.5,32,98,deficit,-487755819185.7,1.0333333333333334,-0.03333333333333344
