Date,Day,Month,Year,SolRadiation (MJ/m²/day),TempMin (°C),TempMax (°C),RelHumMin (%),RelHumMax (%),net radiation name,net radiation,SurplusCal,DeficitCal,deficit,surplus,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,
1/1/2011,1,1,2011,13.00196281,19,33.5,21,90,deficit,-89.31760237,surplus,surplus,0.011072039,0.988927961,,,,,,,,January, February ,March,April, May,June,July,August,September, October,November, December,,,,,,,,,,,,
1/2/2011,2,1,2011,9.872774792,17,31.5,26,89,deficit,-69.11935339,surplus,surplus,0.014261398,0.985738602,,,,,,,2011,-21.63016939,17.3683137,65.03002212,47.71188684,62.20615717,59.93925485,31.09829191,32.34455721,47.20747293,43.38996842,-20.90329331,-102.1222611,,,,,,,,,,,,
1/3/2011,3,1,2011,10.60551559,17.5,33,27,95,deficit,-59.14298607,surplus,surplus,0.016627043,0.983372957,,,,,,,2012,-56.14310056,10.90027965,14.44120746,-69.415636,60.03342549,49.38734198,50.79825076,29.92156137,49.18513987,55.10010074,-7.077220435,-46.87616279,,,,,,,,,,,,
1/4/2011,4,1,2011,10.22194146,19,33,38,98,deficit,-16.19123636,deficit,surplus,0.058169173,0.941830827,,,,,,,2013,-52.65137768,-12.46267141,-64.53704439,56.55096826,54.9460806,46.16763016,45.00188656,23.91809572,30.41680838,42.40287345,25.27699639,-8.790766835,,,,,,,,,,,,
1/5/2011,5,1,2011,9.217511167,19,31.5,50,97,surplus,4.089047732,surplus,deficit,-0.32372436,1.32372436,,,,,,,2014,-6.314012203,-28.44065137,58.55284194,67.98716703,69.37714968,-70.18218943,53.29055244,-30.05043044,38.15003907,39.66482369,19.13902744,-56.69424756,,,,,,,,,,,,
1/6/2011,6,1,2011,10.07405483,21,32.5,23,97,deficit,-42.61410694,deficit,surplus,0.022928361,0.977071639,,,,,,,2015,-57.78827195,-3.152535991,-25.61482112,-7.804933963,39.19109018,33.56429738,21.98854443,23.7027762,30.09420162,44.79937426,-53.39099545,172.3610437,,,,,,,,,,,,
1/7/2011,7,1,2011,9.685897882,21,31,24,79,deficit,-63.64157524,surplus,surplus,0.01546992,0.98453008,,,,,,,2016,-43.09577573,4.525346854,137.6834243,147.1174079,126.2492815,51.41494541,39.12073309,37.07326032,45.80146674,56.94359388,16.09396342,-108.2014876,,,,,,,,,,,,
1/8/2011,8,1,2011,11.9446425,18,32,16,74,deficit,-124.7645784,surplus,deficit,0.007951364,0.992048636,,,,,,,2017,-39.52251407,-56.97819359,-11.39246035,-39.6418609,33.53156221,59.18148371,-73.18603833,51.84943655,-38.63315179,53.98367599,-42.39481926,-67.84481297,,,,,,,,,,,,
1/9/2011,9,1,2011,10.99920101,19,32.5,19,89,deficit,-82.56886794,surplus,surplus,0.011966179,0.988033821,,,,,,,2018,-62.46403235,4.590427728,56.64179206,116.6970691,66.71114558,68.13329748,74.02546235,64.81491946,68.64681461,77.8195209,-14.80047036,-192.8810444,,,,,,,,,,,,
1/10/2011,10,1,2011,11.19400691,16.5,32.3,19,52,deficit,-136.5682211,surplus,deficit,0.007269121,0.992730879,,,,,,,2019,-55.06169784,-9.762762453,49.77099505,-81.49327202,84.10838363,89.69128198,81.46498798,63.00678164,59.6324992,50.25996202,26.17730318,-51.88434222,,,,,,,,,,,,
