Date,Day,Month,Year,SolRadiation (MJ/m²/day),TempMin (°C),TempMax (°C),RelHumMin (%),RelHumMax (%),net radiation name,net radiation,surplus,surplusinshort,deficit,deficitinshort,,,,,,,,,
1/1/2011,1,1,2011,13.00196281,19,33.5,21,90,deficit,-89.31760237,0.988927961,surplus,0.011072039,deficit,,330,,,,,,,
1/2/2011,2,1,2011,9.872774792,17,31.5,26,89,deficit,-69.11935339,0.985738602,surplus,0.014261398,deficit,,,,Surplus,,Deficit,,Month,Net radiation
1/3/2011,3,1,2011,10.60551559,17.5,33,27,95,deficit,-59.14298607,0.983372957,surplus,0.016627043,deficit,,1,,26.1354295,,-487.7250745,,January,-41.962695
1/4/2011,4,1,2011,10.22194146,19,33,38,98,deficit,-16.19123636,0.941830827,deficit,0.058169173,surplus,,2,,212.2034344,,-398.8552926,," February, ",-16.96835074
1/5/2011,5,1,2011,9.217511167,19,31.5,50,97,surplus,4.089047732,1.32372436,surplus,-0.32372436,deficit,,3,,646.0568519,,-105.4452722,,March,49.14650724
1/6/2011,6,1,2011,10.07405483,21,32.5,23,97,deficit,-42.61410694,0.977071639,deficit,0.022928361,deficit,,4,,726.0840746,,-33.69275936,,April,62.94466502
1/7/2011,7,1,2011,9.685897882,21,31,24,79,deficit,-63.64157524,0.98453008,surplus,0.01546992,deficit,,5,,757.899186,,-8.209215998,, May,68.15363364
1/8/2011,8,1,2011,11.9446425,18,32,16,74,deficit,-124.7645784,0.992048636,surplus,0.007951364,deficit,,6,,623.4016134,,-0.167041728,,June,56.65768834
1/9/2011,9,1,2011,10.99920101,19,32.5,19,89,deficit,-82.56886794,0.988033821,surplus,0.011966179,deficit,,7,,555.5569533,,-2.97464872,,July,50.23475496
1/10/2011,10,1,2011,11.19400691,16.5,32.3,19,52,deficit,-136.5682211,0.992730879,surplus,0.007269121,deficit,,8,,430.4445322,,-3.955212596,,August,38.77175633
11/1/2011,1,11,2011,11.68666071,17.5,33,23,64,deficit,-113.7691169,0.991286855,surplus,0.008713145,deficit,,9,,474.8006594,,-4.558427019,,September,42.74929385
11/2/2011,2,11,2011,12.9549708,18.5,34.5,25,90,deficit,-75.09748613,0.986858961,surplus,0.013141039,deficit,,10,,566.172139,,-12.15917425,, October,50.36481498
11/3/2011,3,11,2011,11.00334736,22.5,34,29,97,deficit,-12.51526345,0.926009581,deficit,0.073990419,surplus,,11,,335.7419233,,-404.9197197,,November,-6.288890582
11/4/2011,4,11,2011,9.664511424,18,32.5,40,89,deficit,-27.22651418,0.964572317,deficit,0.035427683,deficit,,12,,154.0285551,,-1153.778336,, December,-90.8863437
11/5/2011,5,11,2011,10.9709767,19,32,20,55,deficit,-121.218189,0.991817912,surplus,0.008182088,deficit,,,,,,,,,
11/6/2011,6,11,2011,11.88477497,16,33,14,56,deficit,-156.1373266,0.99363614,surplus,0.00636386,deficit,,,,,,,,,
11/7/2011,7,11,2011,10.48127045,16.5,31.5,19,80,deficit,-101.6395628,0.990257168,surplus,0.009742832,deficit,,SEQ,SS,SD,DS,DD,,,
11/8/2011,8,11,2011,10.91787427,16,32,20,84,deficit,-101.2977618,0.990224615,surplus,0.009775385,deficit,,January,26,26,#REF!,#REF!,,,
11/9/2011,9,11,2011,10.64072323,16,33.5,21,90,deficit,-86.85752481,0.988617936,surplus,0.011382064,deficit,, February ,87,,,,,,
1/20/2011,20,1,2011,10.49821958,16.5,32.5,20,95,deficit,-83.13166892,0.988113869,surplus,0.011886131,deficit,,March,29,,,,,,
12/1/2011,1,12,2011,10.90652635,16,32.5,26,95,deficit,-74.01250293,0.986668889,surplus,0.013331111,deficit,,April,26,,,,,,
12/2/2011,2,12,2011,10.76875101,16.5,33.5,28,100,deficit,-56.51941951,0.982614567,surplus,0.017385433,deficit,, May,329,,,,,,
12/3/2011,3,12,2011,11.4675208,20,33.5,25,98,deficit,-47.7551842,0.979489361,deficit,0.020510639,deficit,,June,2,,,,,,
12/4/2011,4,12,2011,10.83669593,20,33,38,98,deficit,-10.69993028,0.914529405,deficit,0.085470595,surplus,,July,0,,,,,,
12/5/2011,5,12,2011,10.06990847,23,32.5,42,95,surplus,17.3130615,1.061300572,surplus,-0.061300572,deficit,,August,1,,,,,,
12/6/2011,6,12,2011,12.10314962,23,34,40,96,surplus,24.33296501,1.042857819,surplus,-0.042857819,deficit,,September,1,,,,,,
12/7/2011,7,12,2011,12.23634215,23.5,34,37,95,surplus,17.82027907,1.059452046,surplus,-0.059452046,deficit,, October,4,,,,,,
12/8/2011,8,12,2011,11.69687965,23.5,34.5,32,98,surplus,9.77060488,1.114017222,surplus,-0.114017222,deficit,,November,93,,,,,,
12/9/2011,9,12,2011,12.68662167,23.5,34,36,100,surplus,23.92484609,1.043620794,surplus,-0.043620794,deficit,, December,232,,,,,,
1/30/2011,30,1,2011,10.51793295,24,34,44,98,surplus,46.95803767,1.02175898,surplus,-0.02175898,deficit,,,,,,,,,
1/31/2011,31,1,2011,16.329,24,33.9,41,96,surplus,45.47786027,1.022483096,surplus,-0.022483096,deficit,,,,,,,,,
2/1/2011,1,2,2011,10.85204181,24,34,42,94,surplus,35.35833354,1.02910502,surplus,-0.02910502,deficit,,,,,,,,,
2/2/2011,2,2,2011,11.07165309,24,34,44,95,surplus,43.56357758,1.023494266,surplus,-0.023494266,deficit,,,,,,,,,
2/3/2011,3,2,2011,9.332512118,24,32,50,95,surplus,40.31629593,1.025434746,surplus,-0.025434746,deficit,,,,,,,,,
2/4/2011,4,2,2011,9.972796493,23.5,33,38,95,surplus,14.23023856,1.075584427,surplus,-0.075584427,deficit,,,,,,,,,
2/5/2011,5,2,2011,10.62071889,24,33,20,90,deficit,-38.56357692,0.974724227,deficit,0.025275773,deficit,,,,,,,,,
2/6/2011,6,2,2011,13.25052583,21.5,34,32,95,deficit,-21.00863935,0.954563297,deficit,0.045436703,surplus,,,,,,,,,
2/7/2011,7,2,2011,27.79101882,22,35.5,26,97,deficit,-70.89741384,0.986091294,surplus,0.013908706,deficit,,,,,,,,,
2/8/2011,8,2,2011,13.28224181,23.5,35,28,95,deficit,-8.925367843,0.899248067,deficit,0.100751933,surplus,,,,,,,,,
2/9/2011,9,2,2011,12.86105951,24,34.5,34,95,surplus,16.39405781,1.06496013,surplus,-0.06496013,deficit,,,,,,,,,
2/10/2011,10,2,2011,8.334986597,23,33.5,42,100,surplus,27.84306207,1.037253574,surplus,-0.037253574,deficit,,,,,,,,,
2/11/2011,11,2,2011,14.39230083,21,33.5,42,100,surplus,14.06606873,1.076534114,surplus,-0.076534114,deficit,,,,,,,,,
2/12/2011,12,2,2011,11.63024701,21,32,57,100,surplus,45.23773222,1.022605137,surplus,-0.022605137,deficit,,,,,,,,,
2/13/2011,13,2,2011,11.77355083,24,33.5,48,100,surplus,62.95630261,1.016140408,surplus,-0.016140408,deficit,,,,,,,,,
2/14/2011,14,2,2011,17.24164632,24,34,36,97,surplus,27.31791128,1.037996936,surplus,-0.037996936,deficit,,,,,,,,,
2/15/2011,15,2,2011,14.55888243,22,33,45,98,surplus,28.42390847,1.036464532,surplus,-0.036464532,deficit,,,,,,,,,
2/16/2011,16,2,2011,16.89175222,23,35,31,95,deficit,-7.583318212,0.88349494,deficit,0.11650506,surplus,,,,,,,,,
2/17/2011,17,2,2011,15.44489285,24,35,34,95,surplus,20.9915898,1.050021034,surplus,-0.050021034,deficit,,,,,,,,,
2/18/2011,18,2,2011,12.62464458,23,34.5,49,92,surplus,53.37060361,1.019094682,surplus,-0.019094682,deficit,,,,,,,,,
2/19/2011,19,2,2011,17.18563417,22,35,30,99,deficit,-17.30413755,0.945367543,deficit,0.054632457,surplus,,,,,,,,,
2/20/2011,20,2,2011,16.95503868,22,34.5,39,95,surplus,12.74195061,1.085164725,surplus,-0.085164725,deficit,,,,,,,,,
2/21/2011,21,2,2011,12.69593278,24,34.5,45,100,surplus,65.70732748,1.0154542,surplus,-0.0154542,deficit,,,,,,,,,
2/22/2011,22,2,2011,12.42460118,22,33,55,98,surplus,57.93014318,1.017565387,surplus,-0.017565387,deficit,,,,,,,,,
2/23/2011,23,2,2011,7.897073403,23,30.5,60,100,surplus,44.39366635,1.023044838,surplus,-0.023044838,deficit,,,,,,,,,
2/24/2011,24,2,2011,12.95489806,23.5,32.5,41,98,surplus,26.14713197,1.039765966,surplus,-0.039765966,deficit,,,,,,,,,
2/25/2011,25,2,2011,15.36196576,22.5,33,45,95,surplus,29.12438904,1.035556328,surplus,-0.035556328,deficit,,,,,,,,,
2/26/2011,26,2,2011,11.28253521,23.5,34,44,100,surplus,47.54529643,1.021484448,surplus,-0.021484448,deficit,,,,,,,,,
2/27/2011,27,2,2011,18.50010118,21.5,34,44,100,surplus,37.09197208,1.027706993,surplus,-0.027706993,deficit,,,,,,,,,
2/28/2011,28,2,2011,19.07840847,21,34.5,20,96,deficit,-100.1563221,0.99011431,surplus,0.00988569,deficit,,,,,,,,,
3/1/2011,1,3,2011,15.41434076,21,33,39,95,deficit,-11.90031892,0.922482537,deficit,0.077517463,surplus,,,,,,,,,
3/2/2011,2,3,2011,14.27300222,24,33.5,44,98,surplus,53.73083426,1.018964236,surplus,-0.018964236,deficit,,,,,,,,,
3/3/2011,3,3,2011,14.19153,24,34.5,47,100,surplus,79.7888847,1.012692146,surplus,-0.012692146,deficit,,,,,,,,,
3/4/2011,4,3,2011,16.0079241,21.5,33,56,98,surplus,68.1847416,1.014884332,surplus,-0.014884332,deficit,,,,,,,,,
3/5/2011,5,3,2011,15.12191368,22,33.5,48,99,surplus,47.90296895,1.021320612,surplus,-0.021320612,deficit,,,,,,,,,
3/6/2011,6,3,2011,14.09405431,24.5,33,55,98,surplus,95.18821469,1.01061704,surplus,-0.01061704,deficit,,,,,,,,,
3/7/2011,7,3,2011,17.13325917,24,34.5,46,95,surplus,75.26635431,1.013465048,surplus,-0.013465048,deficit,,,,,,,,,
3/8/2011,8,3,2011,14.54215153,25,33,59,98,surplus,119.9507632,1.00840684,surplus,-0.00840684,deficit,,,,,,,,,
3/9/2011,9,3,2011,15.91335812,23,33,55,98,surplus,83.73260959,1.012087132,surplus,-0.012087132,deficit,,,,,,,,,
3/10/2011,10,3,2011,16.93394319,24,34,51,95,surplus,91.56708165,1.011041539,surplus,-0.011041539,deficit,,,,,,,,,
3/11/2011,11,3,2011,16.00719667,25,34,48,93,surplus,83.78026259,1.012080174,surplus,-0.012080174,deficit,,,,,,,,,
3/12/2011,12,3,2011,17.66210118,25,34.5,45,95,surplus,88.5575379,1.011421061,surplus,-0.011421061,deficit,,,,,,,,,
3/13/2011,13,3,2011,17.27074354,25,35,45,95,surplus,93.39378628,1.010823239,surplus,-0.010823239,deficit,,,,,,,,,
3/14/2011,14,3,2011,15.78169319,25,35,43,98,surplus,85.15638644,1.011882639,surplus,-0.011882639,deficit,,,,,,,,,
3/15/2011,15,3,2011,17.53261854,24,33.5,46,94,surplus,61.30806084,1.016581531,surplus,-0.016581531,deficit,,,,,,,,,
3/16/2011,16,3,2011,16.6626116,24,33.5,51,94,surplus,81.12765588,1.012480086,surplus,-0.012480086,deficit,,,,,,,,,
3/17/2011,17,3,2011,18.30151264,24,34.5,36,95,surplus,27.60874676,1.037581627,surplus,-0.037581627,deficit,,,,,,,,,
3/18/2011,18,3,2011,19.42393799,24,36,30,94,surplus,6.525997219,1.180962813,surplus,-0.180962813,deficit,,,,,,,,,
